#id	ref	ECFP4	DL	MACCS	Sum	SMILES
ZINC000000337296	ZINC000000337296	0.036	1.000	0.800	0.574	Nc1ccc2ccc(N)cc2c1
ZINC000001586320	ZINC000000337296	0.028	0.683	0.536	0.392	Nc1ccc2ccc(O)cc2c1
ZINC000002570597	ZINC000000337296	0.031	0.338	0.424	0.233	S=C1Nc2ccccc2-c2ccccc2N1
ZINC000000362966	ZINC000000337296	0.024	0.329	0.448	0.231	Cc1ccc(N)c(C(O)c2ccccc2)c1
ZINC000004240285	ZINC000000337296	0.029	0.312	0.385	0.213	Nc1cc(F)cc(C(F)(F)F)c1
ZINC000031777118	ZINC000000337296	0.023	0.329	0.359	0.212	CC1(C)CNc2cc(N)ccc21
ZINC000032192827	ZINC000000337296	0.028	0.364	0.235	0.204	OCC(O)c1cccc2ccccc12
ZINC000003132361	ZINC000000337296	0.047	0.320	0.250	0.197	OC1CCCc2c1[nH]c1ccccc21
ZINC000409419105	ZINC000000337296	0.047	0.320	0.250	0.197	OC1CCCc2c1[nH]c1ccccc21
ZINC000001399168	ZINC000000337296	0.044	0.315	0.256	0.195	OC(c1c[nH]c2ccccc12)C(F)(F)Cl
ZINC000001684150	ZINC000000337296	0.025	0.298	0.293	0.188	O=C1NC(O)(c2ccccc2)c2ccccc21
ZINC000002041974	ZINC000000337296	0.023	0.332	0.200	0.182	COc1ccc(C(O)CO)c2ccccc12
ZINC000225345994	ZINC000000337296	0.023	0.313	0.188	0.172	CC(C)N1NC(C)(c2ccccc2)NC1=S
ZINC000033843609	ZINC000000337296	0.030	0.281	0.222	0.169	OC(/C=C/C(O)c1ccccc1)c1ccccc1
ZINC000000519156	ZINC000000337296	0.000	0.267	0.158	0.139	OC1C2CCCC1C1(O)CCCCC1C2
ZINC000012657592	ZINC000000337296	0.000	0.267	0.158	0.139	OC1C2CCCC1C1(O)CCCCC1C2
