#Ref	Que	ECFP4	DL	MACCS	Sum
ZINC000003132361	ZINC000409419105	1.000	1.000	1.000	1.000
ZINC000000519156	ZINC000012657592	1.000	1.000	1.000	1.000
ZINC000032192827	ZINC000002041974	0.710	0.695	0.812	0.724
ZINC000000337296	ZINC000001586320	0.652	0.683	0.679	0.670
ZINC000003132361	ZINC000001399168	0.306	0.550	0.565	0.455
ZINC000409419105	ZINC000001399168	0.306	0.550	0.565	0.455
ZINC000032192827	ZINC000033843609	0.387	0.476	0.536	0.452
ZINC000001586320	ZINC000000362966	0.308	0.442	0.710	0.442
ZINC000032192827	ZINC000001399168	0.366	0.450	0.341	0.395
ZINC000002041974	ZINC000033843609	0.316	0.425	0.441	0.384
ZINC000000337296	ZINC000004240285	0.370	0.312	0.538	0.381
ZINC000031777118	ZINC000000362966	0.283	0.468	0.400	0.380
ZINC000001586320	ZINC000002041974	0.233	0.489	0.439	0.376
ZINC000001586320	ZINC000031777118	0.286	0.465	0.362	0.373
ZINC000033843609	ZINC000000362966	0.333	0.354	0.483	0.371
ZINC000000337296	ZINC000000362966	0.303	0.329	0.586	0.370
ZINC000001399168	ZINC000000362966	0.220	0.443	0.513	0.368
ZINC000001586320	ZINC000032192827	0.243	0.474	0.395	0.366
ZINC000001586320	ZINC000004240285	0.286	0.416	0.424	0.365
ZINC000001684150	ZINC000000362966	0.146	0.521	0.465	0.360
ZINC000001586320	ZINC000003132361	0.174	0.466	0.500	0.356
ZINC000001586320	ZINC000409419105	0.174	0.466	0.500	0.356
ZINC000032192827	ZINC000000362966	0.308	0.390	0.368	0.353
ZINC000004240285	ZINC000000362966	0.282	0.357	0.484	0.352
ZINC000002041974	ZINC000000362966	0.261	0.439	0.349	0.350
ZINC000000337296	ZINC000031777118	0.314	0.329	0.462	0.350
ZINC000001684150	ZINC000001586320	0.136	0.446	0.561	0.345
ZINC000001586320	ZINC000001399168	0.167	0.462	0.463	0.344
ZINC000004240285	ZINC000031777118	0.262	0.412	0.357	0.341
ZINC000032192827	ZINC000003132361	0.200	0.424	0.444	0.339
ZINC000032192827	ZINC000409419105	0.200	0.424	0.444	0.339
ZINC000002041974	ZINC000001399168	0.312	0.382	0.300	0.338
ZINC000001684150	ZINC000001399168	0.176	0.388	0.556	0.337
ZINC000003132361	ZINC000000362966	0.135	0.474	0.413	0.326
ZINC000409419105	ZINC000000362966	0.135	0.474	0.413	0.326
ZINC000002570597	ZINC000225345994	0.250	0.281	0.532	0.319
ZINC000002570597	ZINC000001586320	0.105	0.480	0.415	0.317
ZINC000001684150	ZINC000003132361	0.261	0.237	0.583	0.316
ZINC000001684150	ZINC000409419105	0.261	0.237	0.583	0.316
ZINC000031777118	ZINC000225345994	0.265	0.302	0.418	0.311
ZINC000033843609	ZINC000001399168	0.262	0.336	0.351	0.309
ZINC000001586320	ZINC000033843609	0.162	0.374	0.419	0.298
ZINC000002041974	ZINC000003132361	0.173	0.348	0.449	0.298
ZINC000002041974	ZINC000409419105	0.173	0.348	0.449	0.298
ZINC000000337296	ZINC000002570597	0.133	0.338	0.545	0.298
ZINC000004240285	ZINC000001399168	0.170	0.376	0.395	0.297
ZINC000001684150	ZINC000032192827	0.163	0.395	0.370	0.297
ZINC000001684150	ZINC000031777118	0.234	0.322	0.370	0.297
