Name,Formula,MW,logP,HDon,HAcc,TPSA,Rotat,MolRef,AliRing,AroRing,SMILES
ZINC000000337296,C10H10N2,158.20400,2.00420,4,2,52.04000,0,52.77280,0,2,Nc1ccc2ccc(N)cc2c1
ZINC000000362966,C14H15NO,213.28000,2.65892,3,2,46.25000,2,66.09520,0,2,Cc1ccc(N)c(C(O)c2ccccc2)c1
ZINC000000519156,C13H22O2,210.31700,2.08860,2,2,40.46000,0,58.36260,3,0,OC1C2CCCC1C1(O)CCCCC1C2
ZINC000001399168,C10H8ClF2NO,231.62900,3.03290,2,2,36.02000,2,54.05850,0,2,OC(c1c[nH]c2ccccc12)C(F)(F)Cl
ZINC000001586320,C10H9NO,159.18800,2.12760,3,2,46.25000,0,50.02520,0,2,Nc1ccc2ccc(O)cc2c1
ZINC000001684150,C14H11NO2,225.24700,1.62340,2,3,49.33000,1,63.34900,1,2,O=C1NC(O)(c2ccccc2)c2ccccc21
ZINC000002041974,C13H14O3,218.25200,1.87410,2,3,49.69000,3,62.54560,0,2,COc1ccc(C(O)CO)c2ccccc12
ZINC000002570597,C13H10N2S,226.30400,3.47590,2,2,24.06000,0,71.72140,1,2,S=C1Nc2ccccc2-c2ccccc2N1
ZINC000003132361,C12H13NO,187.24200,2.53760,2,2,36.02000,0,56.19650,1,2,OC1CCCc2c1[nH]c1ccccc21
ZINC000004240285,C7H5F4N,179.11600,2.42670,2,1,26.02000,0,35.81440,0,1,Nc1cc(F)cc(C(F)(F)F)c1
ZINC000012657592,C13H22O2,210.31700,2.08860,2,2,40.46000,0,58.36260,3,0,OC1C2CCCC1C1(O)CCCCC1C2
ZINC000031777118,C10H14N2,162.23600,1.97190,3,2,38.05000,0,52.37010,1,1,CC1(C)CNc2cc(N)ccc21
ZINC000032192827,C12H12O2,188.22600,1.86550,2,2,40.46000,2,55.99360,0,2,OCC(O)c1cccc2ccccc12
ZINC000033843609,C16H16O2,240.30200,3.00980,2,2,40.46000,4,71.94360,0,2,OC(/C=C/C(O)c1ccccc1)c1ccccc1
ZINC000225345994,C12H17N3S,235.35600,1.96240,2,3,27.30000,2,69.63840,1,1,CC(C)N1NC(C)(c2ccccc2)NC1=S
ZINC000409419105,C12H13NO,187.24200,2.53760,2,2,36.02000,0,56.19650,1,2,OC1CCCc2c1[nH]c1ccccc21
